,Date,Hour,Import Grid (EUR/kWh),normal consumption,smart consumption,YearMonth,Year,cost/kWh normal,cost/kWh smart,YearMonthC,Days
0,2022-12-30,20:00:00,0.02793,,,2022-12,2022,,,2022-12,361
1,2022-12-30,19:00:00,0.02414,,,2022-12,2022,,,2022-12,361
2,2022-12-30,18:00:00,0.025,,,2022-12,2022,,,2022-12,361
3,2022-12-30,17:00:00,0.03105,,,2022-12,2022,,,2022-12,361
4,2022-12-30,16:00:00,0.02137,,,2022-12,2022,,,2022-12,361
5,2022-12-30,15:00:00,0.02829,,,2022-12,2022,,,2022-12,361
6,2022-12-30,14:00:00,0.02574,,,2022-12,2022,,,2022-12,361
7,2022-12-30,13:00:00,0.02003,,,2022-12,2022,,,2022-12,361
8,2022-12-30,12:00:00,0.01795,,1.077,2022-12,2022,,0.01795,2022-12,361
9,2022-12-30,11:00:00,0.02486,,,2022-12,2022,,,2022-12,361
10,2022-12-30,10:00:00,0.0261999999999999,,,2022-12,2022,,,2022-12,361
11,2022-12-30,09:00:00,0.02922,,,2022-12,2022,,,2022-12,361
12,2022-12-30,08:00:00,0.0278999999999999,1.674,,2022-12,2022,0.027899999999999998,,2022-12,361
13,2022-12-29,20:00:00,0.12,,,2022-12,2022,,,2022-12,360
14,2022-12-29,19:00:00,0.12007,,,2022-12,2022,,,2022-12,360
15,2022-12-29,18:00:00,0.12243,,,2022-12,2022,,,2022-12,360
16,2022-12-29,17:00:00,0.1201,,,2022-12,2022,,,2022-12,360
17,2022-12-29,16:00:00,0.1099,,,2022-12,2022,,,2022-12,360
18,2022-12-29,15:00:00,0.11,,,2022-12,2022,,,2022-12,360
19,2022-12-29,14:00:00,0.0999,,,2022-12,2022,,,2022-12,360
20,2022-12-29,13:00:00,0.096,,,2022-12,2022,,,2022-12,360
21,2022-12-29,12:00:00,0.1013,,,2022-12,2022,,,2022-12,360
22,2022-12-29,11:00:00,0.10903,,,2022-12,2022,,,2022-12,360
23,2022-12-29,10:00:00,0.10923,,,2022-12,2022,,,2022-12,360
24,2022-12-29,09:00:00,0.096,,,2022-12,2022,,,2022-12,360
25,2022-12-29,08:00:00,0.03997,2.3982,2.3982,2022-12,2022,0.03997,0.03997,2022-12,360
26,2022-12-28,20:00:00,0.09135,,,2022-12,2022,,,2022-12,359
27,2022-12-28,19:00:00,0.09514,,,2022-12,2022,,,2022-12,359
